#name,distance,star_mag,planet_type,discovery_yr,mass_ME,radius_RE,orbital_radius_AU,orbital_period_yr,eccentricity,detection_method
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,6169.2,12.096,1.29,0.8925394,0.23,Radial Velocity
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,4687.32,12.208,1.53,1.4,0.08,Radial Velocity
14 Andromedae b,246.0,5.23133,Gas Giant,2008,1526.4,12.88,0.83,0.5086927,,Radial Velocity
14 Herculis b,58.0,6.61935,Gas Giant,2002,2588.14,12.544,2.773069,4.8,0.37,Radial Velocity
16 Cygni B b,69.0,6.215,Gas Giant,1996,566.04,13.44,1.66,2.2,0.68,Radial Velocity
17 Scorpii b,408.0,5.22606,Gas Giant,2020,1373.76,12.88,1.45,1.6,0.06,Radial Velocity
18 Delphini b,249.0,5.51048,Gas Giant,2008,3275.4,12.432,2.6,2.7,0.08,Radial Velocity
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,2544.0,18.6368,330.0,6505.9,,Direct Imaging
24 Bootis b,313.0,5.59,Gas Giant,2018,289.38,13.888,0.19,0.08323066,0.04,Radial Velocity
24 Sextantis b,235.0,6.4535,Gas Giant,2010,632.82,13.328,1.333,1.2396988,0.09,Radial Velocity
24 Sextantis c,235.0,6.4535,Gas Giant,2010,273.48,13.888,2.08,2.4,0.29,Radial Velocity
2M0437 b,419.0,16.186,Gas Giant,2021,1272.0,12.992,118.0,3110.6,,Direct Imaging
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,4134.0,12.32,84.0,1767.2,,Direct Imaging
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,7791.0,11.2,52.0,593.2,,Direct Imaging
2MASS J02192210-3925225 b,131.0,,Gas Giant,2015,4420.2,16.128,156.0,5878.1,,Direct Imaging
2MASS J04414489+2301513 b,393.0,,Gas Giant,2010,2385.0,12.656,15.0,411.0,,Direct Imaging
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,1590.0,12.88,55.0,2885.9,,Direct Imaging
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,604.2,13.44,0.92,1.1115674,0.33,Eclipse Timing Variations
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,3975.0,12.32,230.0,4505.7,,Direct Imaging
30 Arietis B b,146.0,7.09209,Gas Giant,2009,4394.76,12.32,0.99,0.9174538,0.29,Radial Velocity
42 Draconis b,296.0,4.8262,Gas Giant,2008,1233.84,12.992,1.19,1.3117043,0.38,Radial Velocity
47 Ursae Majoris b,45.0,5.03352,Gas Giant,1996,804.54,13.216,2.1,3.0,0.03,Radial Velocity
47 Ursae Majoris c,45.0,5.03352,Gas Giant,2001,171.72,14.224,3.6,6.6,0.1,Radial Velocity
47 Ursae Majoris d,45.0,5.03352,Gas Giant,2009,521.52,13.44,11.6,38.4,0.16,Radial Velocity
4 Ursae Majoris b,240.0,4.5801,Gas Giant,2006,2257.8,12.656,0.87,0.7373032,0.43,Radial Velocity
51 Eridani b,97.0,5.21149,Gas Giant,2015,636.0,13.328,13.2,32.0,0.45,Direct Imaging
51 Pegasi b,50.0,5.45309,Gas Giant,1995,146.28,14.224,0.0527,0.011498973,0.01,Radial Velocity
55 Cancri b,41.0,5.95084,Gas Giant,1996,264.13,13.888,0.1134,0.040246405,,Radial Velocity
55 Cancri c,41.0,5.95084,Gas Giant,2004,54.51,8.512,0.2373,0.12156058,0.03,Radial Velocity
55 Cancri d,41.0,5.95084,Gas Giant,2002,1233.2,12.992,5.957,15.3,0.13,Radial Velocity
