country,year,democratic_score
Albania,1952,-9
Argentina,1952,-9
Armenia,1952,-9
Australia,1952,10
Austria,1952,10
Azerbaijan,1952,-9
Belarus,1952,-9
Belgium,1952,10
Bhutan,1952,-10
Bolivia,1952,-4
Brazil,1952,5
Bulgaria,1952,-7
Canada,1952,10
Chile,1952,2
China,1952,-8
Colombia,1952,-5
Costa Rica,1952,10
Croatia,1952,-7
Cuba,1952,0
Czech Rep.,1952,-7
Denmark,1952,10
Dominican Rep.,1952,-9
Ecuador,1952,2
Egypt,1952,-7
El Salvador,1952,-6
Estonia,1952,-9
Ethiopia,1952,-9
Finland,1952,10
France,1952,10
Georgia,1952,-9
Germany,1952,10
Greece,1952,4
Guatemala,1952,2
Haiti,1952,-5
Honduras,1952,-3
Hungary,1952,-7
India,1952,9
Indonesia,1952,0
Iran,1952,-1
Iraq,1952,-4
Ireland,1952,10
Israel,1952,10
Italy,1952,10
Japan,1952,10
Jordan,1952,-1
Kazakhstan,1952,-9
"Korea, Dem. Rep.",1952,-7
"Korea, Rep.",1952,-4
Kyrgyzstan,1952,-9
Latvia,1952,-9
Lebanon,1952,2
Liberia,1952,-6
Libya,1952,-7
Lithuania,1952,-9
"Macedonia, FYR",1952,-7
Mexico,1952,-6
Moldova,1952,-9
Mongolia,1952,-7
Montenegro,1952,-7
Myanmar,1952,8
Nepal,1952,-7
Netherlands,1952,10
New Zealand,1952,10
Nicaragua,1952,-8
Norway,1952,10
Oman,1952,-6
Pakistan,1952,5
Panama,1952,-1
Paraguay,1952,-5
Peru,1952,-2
Philippines,1952,5
Poland,1952,-7
Portugal,1952,-9
Romania,1952,-7
Russia,1952,-9
Saudi Arabia,1952,-10
Serbia,1952,-7
Slovak Republic,1952,-7
Slovenia,1952,-7
South Africa,1952,4
Spain,1952,-7
Sri Lanka,1952,7
Sweden,1952,10
Switzerland,1952,10
Syria,1952,-7
Taiwan,1952,-8
Tajikistan,1952,-9
Thailand,1952,-6
Turkey,1952,7
Turkmenistan,1952,-9
Ukraine,1952,-9
United Kingdom,1952,10
United States,1952,10
Uruguay,1952,8
Uzbekistan,1952,-9
Venezuela,1952,-3
Albania,1957,-9
Argentina,1957,-1
Armenia,1957,-7
Australia,1957,10
Austria,1957,10
Azerbaijan,1957,-7
Belarus,1957,-7
Belgium,1957,10
Bhutan,1957,-10
Bolivia,1957,-3
Brazil,1957,5
Bulgaria,1957,-7
Canada,1957,10
Chile,1957,5
China,1957,-8
Colombia,1957,7
Costa Rica,1957,10
Croatia,1957,-7
Cuba,1957,-9
Czech Rep.,1957,-7
Denmark,1957,10
Dominican Rep.,1957,-9
Ecuador,1957,2
Egypt,1957,-7
El Salvador,1957,-5
Estonia,1957,-7
Ethiopia,1957,-9
Finland,1957,10
France,1957,10
Georgia,1957,-7
Germany,1957,10
Greece,1957,4
Guatemala,1957,-6
Haiti,1957,-5
Honduras,1957,-1
Hungary,1957,-7
India,1957,9
Indonesia,1957,-1
Iran,1957,-10
Iraq,1957,-4
Ireland,1957,10
Israel,1957,10
Italy,1957,10
Japan,1957,10
Jordan,1957,-9
Kazakhstan,1957,-7
"Korea, Dem. Rep.",1957,-8
"Korea, Rep.",1957,-4
Kyrgyzstan,1957,-7
Latvia,1957,-7
Lebanon,1957,2
Liberia,1957,-6
Libya,1957,-7
Lithuania,1957,-7
"Macedonia, FYR",1957,-7
Mexico,1957,-6
Moldova,1957,-7
Mongolia,1957,-7
Montenegro,1957,-7
Myanmar,1957,8
Nepal,1957,-4
Netherlands,1957,10
New Zealand,1957,10
Nicaragua,1957,-8
Norway,1957,10
Oman,1957,-10
Pakistan,1957,8
Panama,1957,4
Paraguay,1957,-9
Peru,1957,5
Philippines,1957,5
Poland,1957,-7
Portugal,1957,-9
Romania,1957,-7
Russia,1957,-7
Saudi Arabia,1957,-10
Serbia,1957,-7
Slovak Republic,1957,-7
Slovenia,1957,-7
South Africa,1957,4
Spain,1957,-7
Sri Lanka,1957,7
Sweden,1957,10
Switzerland,1957,10
Syria,1957,7
Taiwan,1957,-8
Tajikistan,1957,-7
Thailand,1957,-3
Turkey,1957,4
Turkmenistan,1957,-7
Ukraine,1957,-7
United Kingdom,1957,10
United States,1957,10
Uruguay,1957,8
Uzbekistan,1957,-7
Venezuela,1957,-3
Albania,1962,-9
Argentina,1962,-1
Armenia,1962,-7
Australia,1962,10
Austria,1962,10
Azerbaijan,1962,-7
Belarus,1962,-7
Belgium,1962,10
Bhutan,1962,-10
Bolivia,1962,-3
Brazil,1962,5
Bulgaria,1962,-7
Canada,1962,10
Chile,1962,5
China,1962,-8
Colombia,1962,7
Costa Rica,1962,10
Croatia,1962,-7
Cuba,1962,-7
Czech Rep.,1962,-7
Denmark,1962,10
Dominican Rep.,1962,8
Ecuador,1962,-1
Egypt,1962,-7
El Salvador,1962,-3
Estonia,1962,-7
Ethiopia,1962,-9
Finland,1962,10
France,1962,5
Georgia,1962,-7
Germany,1962,10
Greece,1962,4
Guatemala,1962,-5
Haiti,1962,-9
Honduras,1962,-1
Hungary,1962,-7
India,1962,9
Indonesia,1962,-5
Iran,1962,-10
Iraq,1962,-5
Ireland,1962,10
Israel,1962,10
Italy,1962,10
Japan,1962,10
Jordan,1962,-9
Kazakhstan,1962,-7
"Korea, Dem. Rep.",1962,-8
"Korea, Rep.",1962,-7
Kyrgyzstan,1962,-7
Latvia,1962,-7
Lebanon,1962,2
Liberia,1962,-6
Libya,1962,-7
Lithuania,1962,-7
"Macedonia, FYR",1962,-7
Mexico,1962,-6
Moldova,1962,-7
Mongolia,1962,-7
Montenegro,1962,-7
Myanmar,1962,-6
Nepal,1962,-9
Netherlands,1962,10
New Zealand,1962,10
Nicaragua,1962,-8
Norway,1962,10
Oman,1962,-10
Pakistan,1962,1
Panama,1962,4
Paraguay,1962,-9
Peru,1962,-6
Philippines,1962,5
Poland,1962,-7
Portugal,1962,-9
Romania,1962,-7
Russia,1962,-7
Saudi Arabia,1962,-10
Serbia,1962,-7
Slovak Republic,1962,-7
Slovenia,1962,-7
South Africa,1962,4
Spain,1962,-7
Sri Lanka,1962,7
Sweden,1962,10
Switzerland,1962,10
Syria,1962,-2
Taiwan,1962,-8
Tajikistan,1962,-7
Thailand,1962,-7
Turkey,1962,9
Turkmenistan,1962,-7
Ukraine,1962,-7
United Kingdom,1962,10
United States,1962,10
Uruguay,1962,8
Uzbekistan,1962,-7
Venezuela,1962,6
Albania,1967,-9
Argentina,1967,-9
Armenia,1967,-7
Australia,1967,10
Austria,1967,10
Azerbaijan,1967,-7
Belarus,1967,-7
Belgium,1967,10
Bhutan,1967,-10
Bolivia,1967,-4
Brazil,1967,-9
Bulgaria,1967,-7
Canada,1967,10
Chile,1967,6
China,1967,-9
Colombia,1967,7
Costa Rica,1967,10
Croatia,1967,-7
Cuba,1967,-7
Czech Rep.,1967,-7
Denmark,1967,10
Dominican Rep.,1967,-3
Ecuador,1967,-1
Egypt,1967,-7
El Salvador,1967,0
Estonia,1967,-7
Ethiopia,1967,-9
Finland,1967,10
France,1967,5
Georgia,1967,-7
Germany,1967,10
Greece,1967,-7
Guatemala,1967,3
Haiti,1967,-9
Honduras,1967,-1
Hungary,1967,-7
India,1967,9
Indonesia,1967,-7
Iran,1967,-10
Iraq,1967,-5
